window,start,end,return_pct,sharpe,max_dd_pct,win_rate_pct,closed_trades,fills,exposure_pct
W1,2023-01-01,2023-03-31,26.83,3.55,-7.14,100.0,2,8,67.99
W2,2023-04-01,2023-06-30,26.62,3.96,-3.85,100.0,1,2,86.51
W3,2023-07-01,2023-09-30,-5.39,-1.16,-11.98,57.14,7,12,72.12
W4,2023-10-01,2023-12-31,10.72,2.4,-9.16,40.0,5,12,77.06
W5,2024-01-01,2024-03-31,24.47,3.37,-5.54,100.0,2,4,85.04
W6,2024-04-01,2024-06-30,3.84,0.85,-11.05,50.0,8,16,79.25
W7,2024-07-01,2024-09-30,-10.56,-3.03,-14.82,33.33,9,16,44.38
W8,2024-10-01,2024-12-31,-1.92,-0.38,-5.34,33.33,6,14,55.52
W9,2025-01-01,2025-03-31,-5.11,-1.59,-7.53,33.33,9,14,42.07
W10,2025-04-01,2025-06-30,17.73,5.03,-1.73,0.0,1,6,45.77
W11,2025-07-01,2025-09-30,15.07,3.29,-6.26,66.67,6,10,79.55
W12,2025-10-01,2025-12-31,4.58,0.98,-7.39,33.33,6,12,67.72
W13,2026-01-01,2026-03-31,-12.61,-5.56,-12.84,11.11,9,16,25.26
W14,2026-04-01,2026-06-30,16.4,2.53,-13.36,44.44,9,19,53.81
